Survey Year,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average
2003,104655,28,60550,19.5
2004,105129,28,64533,19.5
2005,114294,28,69662,20
2006,125629,28,73402,20.5
2007,117129,28,64741,20.5
2008,112933,27,57963,20.5
2009,113793,27,58194,20.5
2010,136199,27,61464,20.5
2011,163751,29,64682,20.5
2012,173396,31,63852,21.5
2013,189944,31,73803,23.5
2014,202340,31,76584,23.5
2015,216979,31.5,84751,24
